feature_group,decision_tier,n_events,n_rows,r2_mean,r2_std,mse_mean,mse_std,n_folds,note
tabular,sharp,4524,4524,0.018232479691505432,0.05473121214559769,0.003056590387132019,0.000505974813253453,12,
tabular,pregame,4857,4857,0.0011348625024159749,0.048879565815096795,0.0032259977306239307,0.0004576433080115645,12,
tabular+injuries,sharp,4524,4524,0.00638258953889211,0.07013080110792332,0.003092072050397595,0.0005212231758996348,12,
tabular+injuries,pregame,4857,4857,0.0015151302019755046,0.06067560728994317,0.003223298777205249,0.0004642113980074904,12,
