feature_group,decision_tier,n_events,n_rows,r2_mean,r2_std,mse_mean,mse_std,n_folds,note
tabular,closing,479,479,0.5959184169769287,0.4949389224011206,4.662188999215999e-06,9.320737227824507e-06,5,
tabular+injuries,closing,479,479,0.5959184169769287,0.4949389224011206,4.662188999215999e-06,9.320737227824507e-06,5,
tabular,sharp,826,826,-0.02039002047644721,0.11914626113930532,0.002301639618559016,0.0010221522048508723,9,
tabular+injuries,sharp,826,826,-0.03129814068476359,0.16837897981168418,0.00232277300933169,0.0010789100269863372,9,
