bookmaker,side,count,pct
bet365,home,334,67.47474747474747
betway,home,64,12.929292929292929
betfred,home,60,12.121212121212121
bwin,home,37,7.474747474747474
bet365,away,542,66.7487684729064
betway,away,98,12.068965517241379
betfred,away,111,13.669950738916256
bwin,away,61,7.512315270935961
bet365,total,876,67.02371843917369
betway,total,162,12.394797245600612
betfred,total,171,13.083397092578425
bwin,total,98,7.4980872226472846
