event_id,fold,y_pred,y_actual,bet_side,bookmaker,american_odds,decimal_odds,won,pnl,clv,mode
op_2022-2023_BOS_CHA_2023-02-11,0,-0.007665499113500118,-0.00807579979300499,away,bet365,450,5.5,False,-100.0,0.00807579979300499,best_available
op_2022-2023_MIA_HOU_2023-02-11,0,-0.009789679199457169,0.02382604405283928,away,betway,475,5.75,False,-100.0,-0.02382604405283928,best_available
op_2022-2023_NOP_CLE_2023-02-11,0,0.005720505956560373,-0.016406504437327385,home,bet365,120,2.2,False,-100.0,-0.016406504437327385,best_available
op_2022-2023_SAC_DAL_2023-02-11,0,0.018167102709412575,0.10346237570047379,home,bet365,-120,1.8333333333333335,False,-100.0,0.10346237570047379,best_available
op_2022-2023_POR_OKC_2023-02-11,0,0.009114078246057034,-0.03291940689086914,home,bet365,-159,1.6289308176100628,False,-100.0,-0.03291940689086914,best_available
op_2022-2023_ORL_MIA_2023-02-12,0,-0.006963583640754223,0.010276006534695625,away,bet365,-130,1.7692307692307692,True,76.92307692307692,-0.010276006534695625,best_available
op_2022-2023_CHA_DEN_2023-02-12,0,-0.031082933768630028,0.06560903787612915,away,bet365,-400,1.25,True,25.0,-0.06560903787612915,best_available
op_2022-2023_WAS_IND_2023-02-12,0,-0.007607419043779373,0.04003620520234108,away,bet365,155,2.55,False,-100.0,-0.04003620520234108,best_available
op_2022-2023_NYK_UTA_2023-02-12,0,-0.015846336260437965,0.021396668627858162,away,bet365,170,2.7,False,-100.0,-0.021396668627858162,best_available
op_2022-2023_ATL_SAS_2023-02-12,0,-0.00804934836924076,0.02978837862610817,away,betfred,500,6.0,False,-100.0,-0.02978837862610817,best_available
op_2022-2023_CLE_CHI_2023-02-12,0,-0.008765327744185925,0.030784254893660545,away,bet365,170,2.7,False,-100.0,-0.030784254893660545,best_available
op_2022-2023_GSW_LAL_2023-02-12,0,0.025511937215924263,0.0708213597536087,home,bet365,-149,1.6711409395973154,False,-100.0,0.0708213597536087,best_available
op_2022-2023_TOR_DET_2023-02-12,0,-0.00791828241199255,0.04659887030720711,away,betway,400,5.0,False,-100.0,-0.04659887030720711,best_available
op_2022-2023_IND_UTA_2023-02-14,0,-0.05451299995183945,-0.07111597061157227,away,bet365,125,2.25,True,125.0,0.07111597061157227,best_available
op_2022-2023_CHA_ATL_2023-02-14,0,-0.012592772953212261,-0.015896566212177277,away,bet365,-200,1.5,False,-100.0,0.015896566212177277,best_available
op_2022-2023_NYK_BKN_2023-02-14,0,-0.022555408999323845,0.0,away,bet365,130,2.3,False,-100.0,-0.0,best_available
op_2022-2023_OKC_NOP_2023-02-14,0,0.03011133335530758,0.06834439933300018,home,bet365,-115,1.8695652173913042,False,-100.0,0.06834439933300018,best_available
op_2022-2023_DAL_MIN_2023-02-14,0,0.008450138382613659,-0.03832612559199333,home,bet365,-278,1.3597122302158273,False,-100.0,-0.03832612559199333,best_available
op_2022-2023_POR_LAL_2023-02-14,0,-0.016631225124001503,-0.020028594881296158,away,bet365,120,2.2,False,-100.0,0.020028594881296158,best_available
op_2022-2023_MIL_BOS_2023-02-15,0,0.05410130321979523,0.16802601516246796,home,bet365,-175,1.5714285714285714,True,57.14285714285714,0.16802601516246796,best_available
op_2022-2023_PHX_SAC_2023-02-15,0,-0.009779767133295536,-0.01647941581904888,away,bet365,135,2.35,False,-100.0,0.01647941581904888,best_available
op_2022-2023_CHA_SAS_2023-02-16,0,0.00949691329151392,-0.03888889029622078,home,betfred,-222,1.4504504504504505,True,45.04504504504505,-0.03888889029622078,best_available
op_2022-2023_BKN_MIA_2023-02-16,0,-0.0057708993554115295,0.043301768600940704,away,bet365,-115,1.8695652173913042,False,-100.0,-0.043301768600940704,best_available
op_2022-2023_PHI_CLE_2023-02-16,0,0.0057292236015200615,-0.030304601415991783,home,betway,-137,1.72992700729927,True,72.99270072992701,-0.030304601415991783,best_available
op_2022-2023_OKC_HOU_2023-02-16,0,-0.0076048290356993675,0.01258167251944542,away,betfred,375,4.75,False,-100.0,-0.01258167251944542,best_available
op_2022-2023_LAL_NOP_2023-02-16,0,-0.015549680218100548,0.06367850303649902,away,bet365,130,2.3,False,-100.0,-0.06367850303649902,best_available
op_2022-2023_WAS_NYK_2023-02-25,0,-0.017154084518551826,-0.041033003479242325,away,bet365,120,2.2,True,120.00000000000001,0.041033003479242325,best_available
op_2022-2023_ATL_CLE_2023-02-25,0,-0.017154084518551826,-0.042743537575006485,away,betfred,115,2.15,False,-100.0,0.042743537575006485,best_available
op_2022-2023_MIL_MIA_2023-02-25,0,0.01000016089528799,0.1320229023694992,home,bet365,-115,1.8695652173913042,True,86.95652173913042,0.1320229023694992,best_available
op_2022-2023_CHI_BKN_2023-02-25,0,0.01802363060414791,0.03190930187702179,home,bet365,-115,1.8695652173913042,True,86.95652173913042,0.03190930187702179,best_available
op_2022-2023_GSW_HOU_2023-02-25,0,-0.01358515303581953,-0.033356886357069016,away,bet365,375,4.75,False,-100.0,0.033356886357069016,best_available
op_2022-2023_PHX_OKC_2023-02-25,0,0.012427810579538345,0.026146845892071724,home,betfred,-333,1.3003003003003002,True,30.03003003003002,0.026146845892071724,best_available
op_2022-2023_LAC_SAC_2023-02-25,0,0.012427810579538345,-0.006440331693738699,home,betway,-250,1.4,False,-100.0,-0.006440331693738699,best_available
op_2022-2023_ORL_IND_2023-02-26,0,-0.005053352564573288,-0.016406504437327385,away,betway,135,2.35,True,135.0,0.016406504437327385,best_available
op_2022-2023_PHI_BOS_2023-02-26,0,0.02297942154109478,0.021739130839705467,home,bet365,100,2.0,False,-100.0,0.021739130839705467,best_available
op_2022-2023_MIL_PHX_2023-02-26,0,0.06818234920501709,-0.02457556501030922,home,bet365,-159,1.6289308176100628,True,62.89308176100627,-0.02457556501030922,best_available
op_2022-2023_CHI_WAS_2023-02-26,0,0.01799864135682583,0.08722786605358124,home,betway,-137,1.72992700729927,True,72.99270072992701,0.08722786605358124,best_available
op_2022-2023_CLE_TOR_2023-02-26,0,0.006616164930164814,0.02159026451408863,home,betfred,-238,1.4201680672268908,True,42.01680672268908,0.02159026451408863,best_available
