date,team,opponent,competition,home_away
2021-09-21T18:45Z,Fulham,Leeds,League Cup,home
2021-09-21T18:45Z,Leeds,Fulham,League Cup,away
2021-09-21T18:45Z,Liverpool,Norwich,League Cup,away
2021-09-21T18:45Z,Manchester City,Wycombe Wanderers,League Cup,home
2021-09-21T18:45Z,Sunderland,Wigan Athletic,League Cup,away
2021-09-22T18:30Z,Brighton,Swansea,League Cup,home
2021-09-22T18:45Z,Arsenal,AFC Wimbledon,League Cup,home
2021-09-22T18:45Z,Aston Villa,Chelsea,League Cup,away
2021-09-22T18:45Z,Chelsea,Aston Villa,League Cup,home
2021-09-22T18:45Z,Manchester Utd,West Ham,League Cup,home
2021-09-22T18:45Z,Tottenham,Wolves,League Cup,away
2021-09-22T18:45Z,West Ham,Manchester Utd,League Cup,away
2021-09-22T18:45Z,Wolves,Tottenham,League Cup,home
2021-09-25T11:30Z,Aston Villa,Manchester Utd,Premier League,away
2021-09-25T11:30Z,Chelsea,Manchester City,Premier League,home
2021-09-25T11:30Z,Manchester City,Chelsea,Premier League,away
2021-09-25T11:30Z,Manchester Utd,Aston Villa,Premier League,home
2021-09-25T14:00Z,Burnley,Leicester,Premier League,away
2021-09-25T14:00Z,Everton,Norwich,Premier League,home
2021-09-25T14:00Z,Leeds,West Ham,Premier League,home
2021-09-25T14:00Z,Newcastle,Watford,Premier League,away
2021-09-25T14:00Z,West Ham,Leeds,Premier League,away
2021-09-25T16:30Z,Brentford,Liverpool,Premier League,home
2021-09-25T16:30Z,Liverpool,Brentford,Premier League,away
2021-09-26T13:00Z,Wolves,Southampton,Premier League,away
2021-09-26T15:30Z,Arsenal,Tottenham,Premier League,home
2021-09-26T15:30Z,Tottenham,Arsenal,Premier League,away
2021-09-27T19:00Z,Brighton,Crystal Palace,Premier League,away
2021-09-27T19:00Z,Crystal Palace,Brighton,Premier League,home
2021-09-28T19:00Z,Liverpool,FC Porto,Champions League,away
2021-09-28T19:00Z,Manchester City,Paris Saint-Germain,Champions League,away
2021-09-29T19:00Z,Chelsea,Juventus,Champions League,away
2021-09-29T19:00Z,Manchester Utd,Villarreal,Champions League,home
2021-09-30T19:00Z,Tottenham,NS Mura,Conference League,home
2021-09-30T19:00Z,West Ham,Rapid Vienna,Europa League,home
2021-10-02T11:30Z,Everton,Manchester Utd,Premier League,away
2021-10-02T11:30Z,Manchester Utd,Everton,Premier League,home
2021-10-02T14:00Z,Burnley,Norwich,Premier League,home
2021-10-02T14:00Z,Chelsea,Southampton,Premier League,home
2021-10-02T14:00Z,Leeds,Watford,Premier League,home
2021-10-02T14:00Z,Newcastle,Wolves,Premier League,away
2021-10-02T14:00Z,Wolves,Newcastle,Premier League,home
2021-10-02T16:30Z,Arsenal,Brighton,Premier League,away
2021-10-02T16:30Z,Brighton,Arsenal,Premier League,home
2021-10-03T13:00Z,Aston Villa,Tottenham,Premier League,away
2021-10-03T13:00Z,Brentford,West Ham,Premier League,away
2021-10-03T13:00Z,Crystal Palace,Leicester,Premier League,home
2021-10-03T13:00Z,Tottenham,Aston Villa,Premier League,home
2021-10-03T13:00Z,West Ham,Brentford,Premier League,home
2021-10-03T15:30Z,Liverpool,Manchester City,Premier League,home
2021-10-03T15:30Z,Manchester City,Liverpool,Premier League,away
2021-10-16T11:30Z,Liverpool,Watford,Premier League,away
2021-10-16T14:00Z,Aston Villa,Wolves,Premier League,home
2021-10-16T14:00Z,Brighton,Norwich,Premier League,away
2021-10-16T14:00Z,Burnley,Manchester City,Premier League,away
2021-10-16T14:00Z,Leeds,Southampton,Premier League,away
2021-10-16T14:00Z,Manchester City,Burnley,Premier League,home
2021-10-16T14:00Z,Manchester Utd,Leicester,Premier League,away
2021-10-16T14:00Z,Wolves,Aston Villa,Premier League,away
2021-10-16T16:30Z,Brentford,Chelsea,Premier League,home
2021-10-16T16:30Z,Chelsea,Brentford,Premier League,away
2021-10-17T13:00Z,Everton,West Ham,Premier League,home
2021-10-17T13:00Z,West Ham,Everton,Premier League,away
2021-10-17T15:30Z,Newcastle,Tottenham,Premier League,home
2021-10-17T15:30Z,Tottenham,Newcastle,Premier League,away
2021-10-18T19:00Z,Arsenal,Crystal Palace,Premier League,home
2021-10-18T19:00Z,Crystal Palace,Arsenal,Premier League,away
2021-10-19T16:45Z,Manchester City,Club Brugge,Champions League,away
2021-10-19T19:00Z,Liverpool,Atlético Madrid,Champions League,away
2021-10-20T19:00Z,Chelsea,Malmö FF,Champions League,home
2021-10-20T19:00Z,Manchester Utd,Atalanta,Champions League,home
2021-10-21T16:45Z,Tottenham,Vitesse,Conference League,away
2021-10-21T19:00Z,West Ham,Racing Genk,Europa League,home
2021-10-22T19:00Z,Arsenal,Aston Villa,Premier League,home
2021-10-22T19:00Z,Aston Villa,Arsenal,Premier League,away
2021-10-23T11:30Z,Chelsea,Norwich,Premier League,home
2021-10-23T14:00Z,Burnley,Southampton,Premier League,away
2021-10-23T14:00Z,Crystal Palace,Newcastle,Premier League,home
2021-10-23T14:00Z,Everton,Watford,Premier League,home
2021-10-23T14:00Z,Leeds,Wolves,Premier League,home
2021-10-23T14:00Z,Newcastle,Crystal Palace,Premier League,away
2021-10-23T14:00Z,Wolves,Leeds,Premier League,away
2021-10-23T16:30Z,Brighton,Manchester City,Premier League,home
2021-10-23T16:30Z,Manchester City,Brighton,Premier League,away
2021-10-24T13:00Z,Brentford,Leicester,Premier League,home
2021-10-24T13:00Z,Tottenham,West Ham,Premier League,away
2021-10-24T13:00Z,West Ham,Tottenham,Premier League,home
2021-10-24T15:30Z,Liverpool,Manchester Utd,Premier League,away
2021-10-24T15:30Z,Manchester Utd,Liverpool,Premier League,home
2021-10-26T18:45Z,Arsenal,Leeds,League Cup,home
2021-10-26T18:45Z,Chelsea,Southampton,League Cup,home
2021-10-26T18:45Z,Leeds,Arsenal,League Cup,away
2021-10-26T18:45Z,Sunderland,Queens Park Rangers,League Cup,away
2021-10-27T18:45Z,Brentford,Stoke,League Cup,away
2021-10-27T18:45Z,Brighton,Leicester,League Cup,away
2021-10-27T18:45Z,Burnley,Tottenham,League Cup,home
2021-10-27T18:45Z,Liverpool,Preston North End,League Cup,away
2021-10-27T18:45Z,Manchester City,West Ham,League Cup,away
2021-10-27T18:45Z,Tottenham,Burnley,League Cup,away
2021-10-27T18:45Z,West Ham,Manchester City,League Cup,home
2021-10-30T11:30Z,Arsenal,Leicester,Premier League,away
2021-10-30T14:00Z,Brentford,Burnley,Premier League,away
2021-10-30T14:00Z,Brighton,Liverpool,Premier League,away
2021-10-30T14:00Z,Burnley,Brentford,Premier League,home
2021-10-30T14:00Z,Chelsea,Newcastle,Premier League,away
2021-10-30T14:00Z,Crystal Palace,Manchester City,Premier League,away
2021-10-30T14:00Z,Liverpool,Brighton,Premier League,home
2021-10-30T14:00Z,Manchester City,Crystal Palace,Premier League,home
2021-10-30T14:00Z,Newcastle,Chelsea,Premier League,home
2021-10-30T16:30Z,Manchester Utd,Tottenham,Premier League,away
2021-10-30T16:30Z,Tottenham,Manchester Utd,Premier League,home
2021-10-31T14:00Z,Leeds,Norwich,Premier League,away
2021-10-31T16:30Z,Aston Villa,West Ham,Premier League,home
2021-10-31T16:30Z,West Ham,Aston Villa,Premier League,away
2021-11-01T20:00Z,Everton,Wolves,Premier League,away
2021-11-01T20:00Z,Wolves,Everton,Premier League,home
2021-11-02T17:45Z,Chelsea,Malmö FF,Champions League,away
2021-11-02T20:00Z,Manchester Utd,Atalanta,Champions League,away
2021-11-03T20:00Z,Liverpool,Atlético Madrid,Champions League,home
2021-11-03T20:00Z,Manchester City,Club Brugge,Champions League,home
2021-11-04T17:45Z,West Ham,Racing Genk,Europa League,away
2021-11-04T20:00Z,Tottenham,Vitesse,Conference League,home
2021-11-05T20:00Z,Aston Villa,Southampton,Premier League,away
2021-11-06T12:30Z,Manchester City,Manchester Utd,Premier League,away
2021-11-06T12:30Z,Manchester Utd,Manchester City,Premier League,home
2021-11-06T15:00Z,Brentford,Norwich,Premier League,home
2021-11-06T15:00Z,Burnley,Chelsea,Premier League,away
2021-11-06T15:00Z,Chelsea,Burnley,Premier League,home
2021-11-06T15:00Z,Crystal Palace,Wolves,Premier League,home
2021-11-06T15:00Z,Sunderland,Mansfield Town,FA Cup,home
2021-11-06T15:00Z,Wolves,Crystal Palace,Premier League,away
2021-11-06T17:30Z,Brighton,Newcastle,Premier League,home
2021-11-06T17:30Z,Newcastle,Brighton,Premier League,away
2021-11-07T14:00Z,Arsenal,Watford,Premier League,home
2021-11-07T14:00Z,Everton,Tottenham,Premier League,home
2021-11-07T14:00Z,Leeds,Leicester,Premier League,home
2021-11-07T14:00Z,Tottenham,Everton,Premier League,away
2021-11-07T16:30Z,Liverpool,West Ham,Premier League,away
2021-11-07T16:30Z,West Ham,Liverpool,Premier League,home
2021-11-20T12:30Z,Chelsea,Leicester,Premier League,away
2021-11-20T15:00Z,Aston Villa,Brighton,Premier League,home
2021-11-20T15:00Z,Brentford,Newcastle,Premier League,away
2021-11-20T15:00Z,Brighton,Aston Villa,Premier League,away
2021-11-20T15:00Z,Burnley,Crystal Palace,Premier League,home
2021-11-20T15:00Z,Crystal Palace,Burnley,Premier League,away
2021-11-20T15:00Z,Manchester Utd,Watford,Premier League,away
2021-11-20T15:00Z,Newcastle,Brentford,Premier League,home
2021-11-20T15:00Z,West Ham,Wolves,Premier League,away
2021-11-20T15:00Z,Wolves,West Ham,Premier League,home
2021-11-20T17:30Z,Arsenal,Liverpool,Premier League,away
2021-11-20T17:30Z,Liverpool,Arsenal,Premier League,home
2021-11-21T14:00Z,Everton,Manchester City,Premier League,away
2021-11-21T14:00Z,Manchester City,Everton,Premier League,home
2021-11-21T16:30Z,Leeds,Tottenham,Premier League,away
2021-11-21T16:30Z,Tottenham,Leeds,Premier League,home
2021-11-23T17:45Z,Manchester Utd,Villarreal,Champions League,away
2021-11-23T20:00Z,Chelsea,Juventus,Champions League,home
2021-11-24T20:00Z,Liverpool,FC Porto,Champions League,home
2021-11-24T20:00Z,Manchester City,Paris Saint-Germain,Champions League,home
2021-11-25T17:45Z,Tottenham,NS Mura,Conference League,away
2021-11-25T17:45Z,West Ham,Rapid Vienna,Europa League,away
2021-11-27T12:30Z,Arsenal,Newcastle,Premier League,home
2021-11-27T12:30Z,Newcastle,Arsenal,Premier League,away
2021-11-27T15:00Z,Aston Villa,Crystal Palace,Premier League,away
2021-11-27T15:00Z,Crystal Palace,Aston Villa,Premier League,home
2021-11-27T15:00Z,Liverpool,Southampton,Premier League,home
2021-11-27T15:00Z,Wolves,Norwich,Premier League,away
2021-11-27T17:30Z,Brighton,Leeds,Premier League,home
2021-11-27T17:30Z,Leeds,Brighton,Premier League,away
2021-11-28T14:00Z,Brentford,Everton,Premier League,home
2021-11-28T14:00Z,Everton,Brentford,Premier League,away
2021-11-28T14:00Z,Manchester City,West Ham,Premier League,home
2021-11-28T14:00Z,West Ham,Manchester City,Premier League,away
2021-11-28T16:30Z,Chelsea,Manchester Utd,Premier League,home
2021-11-28T16:30Z,Manchester Utd,Chelsea,Premier League,away
2021-11-30T19:30Z,Newcastle,Norwich,Premier League,home
2021-11-30T20:15Z,Crystal Palace,Leeds,Premier League,away
2021-11-30T20:15Z,Leeds,Crystal Palace,Premier League,home
2021-12-01T19:30Z,Brighton,West Ham,Premier League,away
2021-12-01T19:30Z,Burnley,Wolves,Premier League,away
2021-12-01T19:30Z,Chelsea,Watford,Premier League,away
2021-12-01T19:30Z,West Ham,Brighton,Premier League,home
2021-12-01T19:30Z,Wolves,Burnley,Premier League,home
2021-12-01T20:15Z,Aston Villa,Manchester City,Premier League,home
2021-12-01T20:15Z,Everton,Liverpool,Premier League,home
2021-12-01T20:15Z,Liverpool,Everton,Premier League,away
2021-12-01T20:15Z,Manchester City,Aston Villa,Premier League,away
2021-12-02T19:30Z,Brentford,Tottenham,Premier League,away
2021-12-02T19:30Z,Tottenham,Brentford,Premier League,home
2021-12-02T20:15Z,Arsenal,Manchester Utd,Premier League,away
2021-12-02T20:15Z,Manchester Utd,Arsenal,Premier League,home
2021-12-04T12:30Z,Chelsea,West Ham,Premier League,away
2021-12-04T12:30Z,West Ham,Chelsea,Premier League,home
2021-12-04T15:00Z,Brighton,Southampton,Premier League,away
2021-12-04T15:00Z,Burnley,Newcastle,Premier League,away
2021-12-04T15:00Z,Liverpool,Wolves,Premier League,away
2021-12-04T15:00Z,Newcastle,Burnley,Premier League,home
2021-12-04T15:00Z,Wolves,Liverpool,Premier League,home
2021-12-04T17:30Z,Manchester City,Watford,Premier League,away
2021-12-05T14:00Z,Brentford,Leeds,Premier League,away
2021-12-05T14:00Z,Crystal Palace,Manchester Utd,Premier League,away
2021-12-05T14:00Z,Leeds,Brentford,Premier League,home
2021-12-05T14:00Z,Manchester Utd,Crystal Palace,Premier League,home
2021-12-05T14:00Z,Tottenham,Norwich,Premier League,home
2021-12-05T16:30Z,Aston Villa,Leicester,Premier League,home
2021-12-06T20:00Z,Arsenal,Everton,Premier League,away
2021-12-06T20:00Z,Everton,Arsenal,Premier League,home
2021-12-07T17:45Z,Manchester City,RB Leipzig,Champions League,away
2021-12-07T20:00Z,Liverpool,AC Milan,Champions League,away
2021-12-08T17:45Z,Chelsea,Zenit St Petersburg,Champions League,away
2021-12-08T20:00Z,Manchester Utd,Young Boys,Champions League,home
2021-12-09T20:00Z,Tottenham,Stade Rennais,Conference League,home
2021-12-09T20:00Z,West Ham,Dinamo Zagreb,Europa League,home
2021-12-10T20:00Z,Brentford,Watford,Premier League,home
2021-12-11T12:30Z,Manchester City,Wolves,Premier League,home
2021-12-11T12:30Z,Wolves,Manchester City,Premier League,away
2021-12-11T15:00Z,Arsenal,Southampton,Premier League,home
2021-12-11T15:00Z,Aston Villa,Liverpool,Premier League,away
2021-12-11T15:00Z,Chelsea,Leeds,Premier League,home
2021-12-11T15:00Z,Leeds,Chelsea,Premier League,away
2021-12-11T15:00Z,Liverpool,Aston Villa,Premier League,home
2021-12-11T17:30Z,Manchester Utd,Norwich,Premier League,away
2021-12-12T14:00Z,Burnley,West Ham,Premier League,home
2021-12-12T14:00Z,Newcastle,Leicester,Premier League,away
2021-12-12T14:00Z,West Ham,Burnley,Premier League,away
2021-12-12T16:30Z,Crystal Palace,Everton,Premier League,home
2021-12-12T16:30Z,Everton,Crystal Palace,Premier League,away
2021-12-14T19:45Z,Aston Villa,Norwich,Premier League,away
2021-12-14T20:00Z,Leeds,Manchester City,Premier League,away
2021-12-14T20:00Z,Manchester City,Leeds,Premier League,home
2021-12-15T19:30Z,Brighton,Wolves,Premier League,home
2021-12-15T19:30Z,Crystal Palace,Southampton,Premier League,home
2021-12-15T19:30Z,Wolves,Brighton,Premier League,away
2021-12-15T20:00Z,Arsenal,West Ham,Premier League,home
2021-12-15T20:00Z,West Ham,Arsenal,Premier League,away
2021-12-16T19:45Z,Chelsea,Everton,Premier League,home
2021-12-16T19:45Z,Everton,Chelsea,Premier League,away
2021-12-16T20:00Z,Liverpool,Newcastle,Premier League,home
2021-12-16T20:00Z,Newcastle,Liverpool,Premier League,away
2021-12-18T17:30Z,Arsenal,Leeds,Premier League,away
2021-12-18T17:30Z,Leeds,Arsenal,Premier League,home
2021-12-19T14:00Z,Chelsea,Wolves,Premier League,away
2021-12-19T14:00Z,Manchester City,Newcastle,Premier League,away
2021-12-19T14:00Z,Newcastle,Manchester City,Premier League,home
2021-12-19T14:00Z,Wolves,Chelsea,Premier League,home
2021-12-19T16:30Z,Liverpool,Tottenham,Premier League,away
2021-12-19T16:30Z,Tottenham,Liverpool,Premier League,home
2021-12-21T19:45Z,Arsenal,Sunderland,League Cup,home
2021-12-21T19:45Z,Sunderland,Arsenal,League Cup,away
2021-12-22T19:45Z,Brentford,Chelsea,League Cup,home
2021-12-22T19:45Z,Chelsea,Brentford,League Cup,away
2021-12-22T19:45Z,Liverpool,Leicester,League Cup,home
2021-12-22T19:45Z,Tottenham,West Ham,League Cup,home
2021-12-22T19:45Z,West Ham,Tottenham,League Cup,away
2021-12-26T15:00Z,Arsenal,Norwich,Premier League,away
2021-12-26T15:00Z,Crystal Palace,Tottenham,Premier League,away
2021-12-26T15:00Z,Manchester City,Leicester,Premier League,home
2021-12-26T15:00Z,Tottenham,Crystal Palace,Premier League,home
2021-12-26T15:00Z,West Ham,Southampton,Premier League,home
2021-12-26T17:30Z,Aston Villa,Chelsea,Premier League,home
2021-12-26T17:30Z,Chelsea,Aston Villa,Premier League,away
2021-12-26T20:00Z,Brentford,Brighton,Premier League,away
2021-12-26T20:00Z,Brighton,Brentford,Premier League,home
2021-12-27T20:00Z,Manchester Utd,Newcastle,Premier League,away
2021-12-27T20:00Z,Newcastle,Manchester Utd,Premier League,home
2021-12-28T15:00Z,Crystal Palace,Norwich,Premier League,home
2021-12-28T15:00Z,Tottenham,Southampton,Premier League,away
2021-12-28T15:00Z,West Ham,Watford,Premier League,away
2021-12-28T20:00Z,Liverpool,Leicester,Premier League,away
2021-12-29T19:30Z,Brighton,Chelsea,Premier League,away
2021-12-29T19:30Z,Chelsea,Brighton,Premier League,home
2021-12-29T20:15Z,Brentford,Manchester City,Premier League,home
2021-12-29T20:15Z,Manchester City,Brentford,Premier League,away
2021-12-30T20:15Z,Burnley,Manchester Utd,Premier League,away
2021-12-30T20:15Z,Manchester Utd,Burnley,Premier League,home
2022-01-01T12:30Z,Arsenal,Manchester City,Premier League,home
2022-01-01T12:30Z,Manchester City,Arsenal,Premier League,away
2022-01-01T15:00Z,Tottenham,Watford,Premier League,away
2022-01-01T17:30Z,Crystal Palace,West Ham,Premier League,home
2022-01-01T17:30Z,West Ham,Crystal Palace,Premier League,away
2022-01-02T14:00Z,Aston Villa,Brentford,Premier League,away
2022-01-02T14:00Z,Brentford,Aston Villa,Premier League,home
2022-01-02T14:00Z,Brighton,Everton,Premier League,away
2022-01-02T14:00Z,Burnley,Leeds,Premier League,away
2022-01-02T14:00Z,Everton,Brighton,Premier League,home
2022-01-02T14:00Z,Leeds,Burnley,Premier League,home
2022-01-02T16:30Z,Chelsea,Liverpool,Premier League,home
2022-01-02T16:30Z,Liverpool,Chelsea,Premier League,away
2022-01-03T17:30Z,Manchester Utd,Wolves,Premier League,home
2022-01-03T17:30Z,Wolves,Manchester Utd,Premier League,away
2022-01-05T19:45Z,Chelsea,Tottenham,League Cup,home
2022-01-05T19:45Z,Tottenham,Chelsea,League Cup,away
2022-01-07T20:00Z,Manchester City,Swindon Town,FA Cup,away
2022-01-08T12:30Z,Burnley,Huddersfield,FA Cup,home
2022-01-08T12:30Z,Fulham,Bristol City,FA Cup,away
2022-01-08T12:45Z,Crystal Palace,Millwall,FA Cup,away
2022-01-08T15:00Z,Brentford,Port Vale,FA Cup,away
2022-01-08T15:00Z,Brighton,West Brom,FA Cup,away
2022-01-08T15:00Z,Newcastle,Cambridge United,FA Cup,home
2022-01-08T17:30Z,Chelsea,Chesterfield,FA Cup,home
2022-01-08T17:30Z,Everton,Hull,FA Cup,away
2022-01-08T17:45Z,Bournemouth,Yeovil Town,FA Cup,away
2022-01-09T14:00Z,Leeds,West Ham,FA Cup,away
2022-01-09T14:00Z,Liverpool,Shrewsbury Town,FA Cup,home
2022-01-09T14:00Z,Tottenham,Morecambe,FA Cup,home
2022-01-09T14:00Z,West Ham,Leeds,FA Cup,home
2022-01-09T14:00Z,Wolves,Sheffield Utd,FA Cup,home
2022-01-09T17:10Z,Arsenal,Nottingham,FA Cup,away
2022-01-09T17:10Z,Nottingham,Arsenal,FA Cup,home
2022-01-10T19:55Z,Aston Villa,Manchester Utd,FA Cup,away
2022-01-10T19:55Z,Manchester Utd,Aston Villa,FA Cup,home
2022-01-11T19:45Z,Brentford,Southampton,Premier League,away
2022-01-12T19:45Z,Chelsea,Tottenham,League Cup,away
2022-01-12T19:45Z,Tottenham,Chelsea,League Cup,home
2022-01-12T19:45Z,West Ham,Norwich,Premier League,home
2022-01-13T19:45Z,Arsenal,Liverpool,League Cup,away
2022-01-13T19:45Z,Liverpool,Arsenal,League Cup,home
2022-01-14T20:00Z,Brighton,Crystal Palace,Premier League,home
2022-01-14T20:00Z,Crystal Palace,Brighton,Premier League,away
2022-01-15T12:30Z,Chelsea,Manchester City,Premier League,away
2022-01-15T12:30Z,Manchester City,Chelsea,Premier League,home
2022-01-15T15:00Z,Everton,Norwich,Premier League,away
2022-01-15T15:00Z,Newcastle,Watford,Premier League,home
2022-01-15T15:00Z,Wolves,Southampton,Premier League,home
2022-01-15T17:30Z,Aston Villa,Manchester Utd,Premier League,home
2022-01-15T17:30Z,Manchester Utd,Aston Villa,Premier League,away
2022-01-16T14:00Z,Brentford,Liverpool,Premier League,away
2022-01-16T14:00Z,Leeds,West Ham,Premier League,away
2022-01-16T14:00Z,Liverpool,Brentford,Premier League,home
2022-01-16T14:00Z,West Ham,Leeds,Premier League,home
2022-01-18T20:00Z,Brighton,Chelsea,Premier League,home
2022-01-18T20:00Z,Chelsea,Brighton,Premier League,away
2022-01-19T19:30Z,Tottenham,Leicester,Premier League,away
