date,team,opponent,competition,home_away
2021-07-31T14:00Z,Bournemouth,Milton Keynes Dons,League Cup,home
2021-08-10T18:45Z,Sunderland,Port Vale,League Cup,away
2021-08-11T18:45Z,Nottingham,Bradford City,League Cup,home
2021-08-13T19:00Z,Arsenal,Brentford,Premier League,away
2021-08-13T19:00Z,Brentford,Arsenal,Premier League,home
2021-08-14T11:30Z,Leeds,Manchester Utd,Premier League,away
2021-08-14T11:30Z,Manchester Utd,Leeds,Premier League,home
2021-08-14T14:00Z,Aston Villa,Watford,Premier League,away
2021-08-14T14:00Z,Brighton,Burnley,Premier League,away
2021-08-14T14:00Z,Burnley,Brighton,Premier League,home
2021-08-14T14:00Z,Chelsea,Crystal Palace,Premier League,home
2021-08-14T14:00Z,Crystal Palace,Chelsea,Premier League,away
2021-08-14T14:00Z,Everton,Southampton,Premier League,home
2021-08-14T14:00Z,Wolves,Leicester,Premier League,away
2021-08-14T16:30Z,Liverpool,Norwich,Premier League,away
2021-08-15T13:00Z,Newcastle,West Ham,Premier League,home
2021-08-15T13:00Z,West Ham,Newcastle,Premier League,away
2021-08-15T15:30Z,Manchester City,Tottenham,Premier League,away
2021-08-15T15:30Z,Tottenham,Manchester City,Premier League,home
2021-08-21T11:30Z,Burnley,Liverpool,Premier League,away
2021-08-21T11:30Z,Liverpool,Burnley,Premier League,home
2021-08-21T14:00Z,Aston Villa,Newcastle,Premier League,home
2021-08-21T14:00Z,Brentford,Crystal Palace,Premier League,away
2021-08-21T14:00Z,Crystal Palace,Brentford,Premier League,home
2021-08-21T14:00Z,Everton,Leeds,Premier League,away
2021-08-21T14:00Z,Leeds,Everton,Premier League,home
2021-08-21T14:00Z,Manchester City,Norwich,Premier League,home
2021-08-21T14:00Z,Newcastle,Aston Villa,Premier League,away
2021-08-21T16:30Z,Brighton,Watford,Premier League,home
2021-08-22T13:00Z,Manchester Utd,Southampton,Premier League,away
2021-08-22T13:00Z,Tottenham,Wolves,Premier League,away
2021-08-22T13:00Z,Wolves,Tottenham,Premier League,home
2021-08-22T15:30Z,Arsenal,Chelsea,Premier League,home
2021-08-22T15:30Z,Chelsea,Arsenal,Premier League,away
2021-08-23T19:00Z,West Ham,Leicester,Premier League,home
2021-08-24T18:00Z,Bournemouth,Norwich,League Cup,away
2021-08-24T18:45Z,Aston Villa,Barrow,League Cup,away
2021-08-24T18:45Z,Brentford,Forest Green Rovers,League Cup,home
2021-08-24T18:45Z,Brighton,Cardiff,League Cup,away
2021-08-24T18:45Z,Crystal Palace,Watford,League Cup,away
2021-08-24T18:45Z,Everton,Huddersfield,League Cup,away
2021-08-24T18:45Z,Fulham,Birmingham City,League Cup,away
2021-08-24T18:45Z,Leeds,Crewe Alexandra,League Cup,home
2021-08-24T18:45Z,Sunderland,Blackpool,League Cup,away
2021-08-24T19:00Z,Nottingham,Wolves,League Cup,home
2021-08-24T19:00Z,Wolves,Nottingham,League Cup,away
2021-08-25T18:45Z,Burnley,Newcastle,League Cup,away
2021-08-25T18:45Z,Newcastle,Burnley,League Cup,home
2021-08-25T19:00Z,Arsenal,West Brom,League Cup,away
2021-08-28T11:30Z,Arsenal,Manchester City,Premier League,away
2021-08-28T11:30Z,Manchester City,Arsenal,Premier League,home
2021-08-28T14:00Z,Aston Villa,Brentford,Premier League,home
2021-08-28T14:00Z,Brentford,Aston Villa,Premier League,away
2021-08-28T14:00Z,Brighton,Everton,Premier League,home
2021-08-28T14:00Z,Crystal Palace,West Ham,Premier League,away
2021-08-28T14:00Z,Everton,Brighton,Premier League,away
2021-08-28T14:00Z,Newcastle,Southampton,Premier League,home
2021-08-28T14:00Z,West Ham,Crystal Palace,Premier League,home
2021-08-28T16:30Z,Chelsea,Liverpool,Premier League,away
2021-08-28T16:30Z,Liverpool,Chelsea,Premier League,home
2021-08-29T13:00Z,Burnley,Leeds,Premier League,home
2021-08-29T13:00Z,Leeds,Burnley,Premier League,away
2021-08-29T13:00Z,Tottenham,Watford,Premier League,home
2021-08-29T15:30Z,Manchester Utd,Wolves,Premier League,away
2021-08-29T15:30Z,Wolves,Manchester Utd,Premier League,home
2021-09-11T11:30Z,Crystal Palace,Tottenham,Premier League,home
2021-09-11T11:30Z,Tottenham,Crystal Palace,Premier League,away
2021-09-11T14:00Z,Arsenal,Norwich,Premier League,home
2021-09-11T14:00Z,Brentford,Brighton,Premier League,home
2021-09-11T14:00Z,Brighton,Brentford,Premier League,away
2021-09-11T14:00Z,Manchester City,Leicester,Premier League,away
2021-09-11T14:00Z,Manchester Utd,Newcastle,Premier League,home
2021-09-11T14:00Z,Newcastle,Manchester Utd,Premier League,away
2021-09-11T14:00Z,West Ham,Southampton,Premier League,away
2021-09-11T14:00Z,Wolves,Watford,Premier League,away
2021-09-11T16:30Z,Aston Villa,Chelsea,Premier League,away
2021-09-11T16:30Z,Chelsea,Aston Villa,Premier League,home
2021-09-12T15:30Z,Leeds,Liverpool,Premier League,home
2021-09-12T15:30Z,Liverpool,Leeds,Premier League,away
2021-09-13T19:00Z,Burnley,Everton,Premier League,away
2021-09-13T19:00Z,Everton,Burnley,Premier League,home
2021-09-14T16:45Z,Manchester Utd,Young Boys,Champions League,away
2021-09-14T19:00Z,Chelsea,Zenit St Petersburg,Champions League,home
2021-09-15T19:00Z,Liverpool,AC Milan,Champions League,home
2021-09-15T19:00Z,Manchester City,RB Leipzig,Champions League,home
2021-09-16T16:45Z,Tottenham,Stade Rennais,Conference League,away
2021-09-16T16:45Z,West Ham,Dinamo Zagreb,Europa League,away
2021-09-17T19:00Z,Leeds,Newcastle,Premier League,away
2021-09-17T19:00Z,Newcastle,Leeds,Premier League,home
2021-09-18T11:30Z,Brentford,Wolves,Premier League,away
2021-09-18T11:30Z,Wolves,Brentford,Premier League,home
2021-09-18T14:00Z,Arsenal,Burnley,Premier League,away
2021-09-18T14:00Z,Burnley,Arsenal,Premier League,home
2021-09-18T14:00Z,Crystal Palace,Liverpool,Premier League,away
2021-09-18T14:00Z,Liverpool,Crystal Palace,Premier League,home
2021-09-18T14:00Z,Manchester City,Southampton,Premier League,home
2021-09-18T16:30Z,Aston Villa,Everton,Premier League,home
2021-09-18T16:30Z,Everton,Aston Villa,Premier League,away
2021-09-19T13:00Z,Brighton,Leicester,Premier League,home
2021-09-19T13:00Z,Manchester Utd,West Ham,Premier League,away
2021-09-19T13:00Z,West Ham,Manchester Utd,Premier League,home
2021-09-19T15:30Z,Chelsea,Tottenham,Premier League,away
2021-09-19T15:30Z,Tottenham,Chelsea,Premier League,home
2021-09-21T18:45Z,Brentford,Oldham Athletic,League Cup,home
2021-09-21T18:45Z,Burnley,Rochdale,League Cup,home
2021-09-21T18:45Z,Everton,Queens Park Rangers,League Cup,away
