date,team,opponent,competition,home_away
2017-07-27T19:05Z,Everton,MFK Ruzomberok,Europa League,home
2017-08-03T18:45Z,Everton,MFK Ruzomberok,Europa League,away
2017-08-08T18:45Z,Brentford,AFC Wimbledon,League Cup,away
2017-08-08T18:45Z,Fulham,Wycombe Wanderers,League Cup,away
2017-08-08T18:45Z,Nottingham,Shrewsbury Town,League Cup,home
2017-08-08T18:45Z,Wolves,Yeovil Town,League Cup,home
2017-08-09T18:45Z,Aston Villa,Colchester United,League Cup,away
2017-08-09T18:45Z,Leeds,Port Vale,League Cup,home
2017-08-10T18:45Z,Sunderland,Bury,League Cup,away
2017-08-11T18:45Z,Arsenal,Leicester,Premier League,home
2017-08-12T11:30Z,Liverpool,Watford,Premier League,away
2017-08-12T14:00Z,Bournemouth,West Brom,Premier League,away
2017-08-12T14:00Z,Burnley,Chelsea,Premier League,away
2017-08-12T14:00Z,Chelsea,Burnley,Premier League,home
2017-08-12T14:00Z,Crystal Palace,Huddersfield,Premier League,home
2017-08-12T14:00Z,Everton,Stoke,Premier League,home
2017-08-12T16:30Z,Brighton,Manchester City,Premier League,home
2017-08-12T16:30Z,Manchester City,Brighton,Premier League,away
2017-08-13T12:30Z,Newcastle,Tottenham,Premier League,home
2017-08-13T12:30Z,Tottenham,Newcastle,Premier League,away
2017-08-13T15:00Z,Manchester Utd,West Ham,Premier League,home
2017-08-13T15:00Z,West Ham,Manchester Utd,Premier League,away
2017-08-15T18:45Z,Liverpool,TSG Hoffenheim,Champions League,away
2017-08-17T19:05Z,Everton,Hajduk Split,Europa League,home
2017-08-19T11:30Z,Manchester Utd,Swansea,Premier League,away
2017-08-19T14:00Z,Bournemouth,Watford,Premier League,home
2017-08-19T14:00Z,Brighton,Leicester,Premier League,away
2017-08-19T14:00Z,Burnley,West Brom,Premier League,home
2017-08-19T14:00Z,Crystal Palace,Liverpool,Premier League,away
2017-08-19T14:00Z,Liverpool,Crystal Palace,Premier League,home
2017-08-19T14:00Z,West Ham,Southampton,Premier League,away
2017-08-19T16:30Z,Arsenal,Stoke,Premier League,away
2017-08-20T12:30Z,Newcastle,Huddersfield,Premier League,away
2017-08-20T15:00Z,Chelsea,Tottenham,Premier League,away
2017-08-20T15:00Z,Tottenham,Chelsea,Premier League,home
2017-08-21T19:00Z,Everton,Manchester City,Premier League,away
2017-08-21T19:00Z,Manchester City,Everton,Premier League,home
2017-08-22T18:30Z,Crystal Palace,Ipswich,League Cup,home
2017-08-22T18:45Z,Bournemouth,Birmingham City,League Cup,away
2017-08-22T18:45Z,Aston Villa,Wigan Athletic,League Cup,home
2017-08-22T18:45Z,Brentford,Queens Park Rangers,League Cup,away
2017-08-22T18:45Z,Brighton,Barnet,League Cup,home
2017-08-22T18:45Z,Fulham,Bristol Rovers,League Cup,home
2017-08-22T18:45Z,Leeds,Newport County,League Cup,home
2017-08-22T18:45Z,Sunderland,Carlisle United,League Cup,away
2017-08-23T18:45Z,Burnley,Blackburn Rovers,League Cup,away
2017-08-23T18:45Z,Liverpool,TSG Hoffenheim,Champions League,home
2017-08-23T18:45Z,Newcastle,Nottingham,League Cup,home
2017-08-23T18:45Z,Nottingham,Newcastle,League Cup,away
2017-08-23T18:45Z,West Ham,Cheltenham Town,League Cup,away
2017-08-23T18:45Z,Wolves,Southampton,League Cup,away
2017-08-24T19:00Z,Everton,Hajduk Split,Europa League,away
2017-08-26T11:30Z,Bournemouth,Manchester City,Premier League,home
2017-08-26T11:30Z,Manchester City,Bournemouth,Premier League,away
2017-08-26T14:00Z,Brighton,Watford,Premier League,away
2017-08-26T14:00Z,Crystal Palace,Swansea,Premier League,home
2017-08-26T14:00Z,Newcastle,West Ham,Premier League,home
2017-08-26T14:00Z,West Ham,Newcastle,Premier League,away
2017-08-26T16:30Z,Manchester Utd,Leicester,Premier League,home
2017-08-27T12:30Z,Chelsea,Everton,Premier League,home
2017-08-27T12:30Z,Everton,Chelsea,Premier League,away
2017-08-27T15:00Z,Arsenal,Liverpool,Premier League,away
2017-08-27T15:00Z,Burnley,Tottenham,Premier League,away
2017-08-27T15:00Z,Liverpool,Arsenal,Premier League,home
2017-08-27T15:00Z,Tottenham,Burnley,Premier League,home
2017-09-09T11:30Z,Liverpool,Manchester City,Premier League,away
2017-09-09T11:30Z,Manchester City,Liverpool,Premier League,home
2017-09-09T14:00Z,Bournemouth,Arsenal,Premier League,away
2017-09-09T14:00Z,Arsenal,Bournemouth,Premier League,home
2017-09-09T14:00Z,Brighton,West Brom,Premier League,home
2017-09-09T14:00Z,Chelsea,Leicester,Premier League,away
2017-09-09T14:00Z,Everton,Tottenham,Premier League,home
2017-09-09T14:00Z,Tottenham,Everton,Premier League,away
2017-09-09T16:30Z,Manchester Utd,Stoke,Premier League,away
2017-09-10T12:30Z,Burnley,Crystal Palace,Premier League,home
2017-09-10T12:30Z,Crystal Palace,Burnley,Premier League,away
2017-09-10T15:00Z,Newcastle,Swansea,Premier League,away
2017-09-11T19:00Z,West Ham,Huddersfield,Premier League,home
2017-09-12T18:45Z,Chelsea,FK Qarabag,Champions League,home
2017-09-12T18:45Z,Manchester Utd,FC Basel,Champions League,home
2017-09-13T18:45Z,Liverpool,Sevilla,Champions League,home
2017-09-13T18:45Z,Manchester City,Feyenoord Rotterdam,Champions League,away
2017-09-13T18:45Z,Tottenham,Borussia Dortmund,Champions League,home
2017-09-14T17:00Z,Everton,Atalanta,Europa League,away
2017-09-14T20:05Z,Arsenal,FC Cologne,Europa League,home
2017-09-15T19:00Z,Bournemouth,Brighton,Premier League,home
2017-09-15T19:00Z,Brighton,Bournemouth,Premier League,away
2017-09-16T11:30Z,Crystal Palace,Southampton,Premier League,home
2017-09-16T14:00Z,Burnley,Liverpool,Premier League,away
2017-09-16T14:00Z,Liverpool,Burnley,Premier League,home
2017-09-16T14:00Z,Manchester City,Watford,Premier League,away
2017-09-16T14:00Z,Newcastle,Stoke,Premier League,home
2017-09-16T14:00Z,West Ham,West Brom,Premier League,away
2017-09-16T16:30Z,Tottenham,Swansea,Premier League,home
2017-09-17T12:30Z,Arsenal,Chelsea,Premier League,away
2017-09-17T12:30Z,Chelsea,Arsenal,Premier League,home
2017-09-17T15:00Z,Everton,Manchester Utd,Premier League,away
2017-09-17T15:00Z,Manchester Utd,Everton,Premier League,home
2017-09-19T18:45Z,Bournemouth,Brighton,League Cup,home
2017-09-19T18:45Z,Aston Villa,Middlesbrough,League Cup,home
2017-09-19T18:45Z,Brentford,Norwich,League Cup,home
2017-09-19T18:45Z,Brighton,Bournemouth,League Cup,away
2017-09-19T18:45Z,Burnley,Leeds,League Cup,home
2017-09-19T18:45Z,Crystal Palace,Huddersfield,League Cup,home
2017-09-19T18:45Z,Leeds,Burnley,League Cup,away
2017-09-19T18:45Z,Liverpool,Leicester,League Cup,away
2017-09-19T18:45Z,West Ham,Bolton Wanderers,League Cup,home
2017-09-19T18:45Z,Wolves,Bristol Rovers,League Cup,home
2017-09-19T19:00Z,Tottenham,Barnsley,League Cup,home
2017-09-20T18:45Z,Arsenal,Doncaster Rovers,League Cup,home
2017-09-20T18:45Z,Chelsea,Nottingham,League Cup,home
2017-09-20T18:45Z,Everton,Sunderland,League Cup,home
2017-09-20T18:45Z,Nottingham,Chelsea,League Cup,away
2017-09-20T18:45Z,Sunderland,Everton,League Cup,away
2017-09-20T19:00Z,Manchester City,West Brom,League Cup,away
2017-09-20T19:00Z,Manchester Utd,Burton Albion,League Cup,home
2017-09-23T11:30Z,Tottenham,West Ham,Premier League,away
2017-09-23T11:30Z,West Ham,Tottenham,Premier League,home
2017-09-23T14:00Z,Bournemouth,Everton,Premier League,away
2017-09-23T14:00Z,Burnley,Huddersfield,Premier League,home
2017-09-23T14:00Z,Chelsea,Stoke,Premier League,away
2017-09-23T14:00Z,Crystal Palace,Manchester City,Premier League,away
2017-09-23T14:00Z,Everton,Bournemouth,Premier League,home
2017-09-23T14:00Z,Manchester City,Crystal Palace,Premier League,home
2017-09-23T14:00Z,Manchester Utd,Southampton,Premier League,away
2017-09-23T16:30Z,Liverpool,Leicester,Premier League,away
2017-09-24T15:00Z,Brighton,Newcastle,Premier League,home
2017-09-24T15:00Z,Newcastle,Brighton,Premier League,away
2017-09-25T19:00Z,Arsenal,West Brom,Premier League,home
2017-09-26T18:45Z,Liverpool,Spartak Moscow,Champions League,away
2017-09-26T18:45Z,Manchester City,Shakhtar Donetsk,Champions League,home
2017-09-26T18:45Z,Tottenham,Apoel Nicosia,Champions League,away
2017-09-27T18:45Z,Chelsea,Atlético Madrid,Champions League,away
2017-09-27T18:45Z,Manchester Utd,CSKA Moscow,Champions League,away
2017-09-28T17:00Z,Arsenal,BATE Borisov,Europa League,away
2017-09-28T19:05Z,Everton,Apollon Limassol,Europa League,home
2017-09-30T11:30Z,Tottenham,Huddersfield,Premier League,away
2017-09-30T14:00Z,Bournemouth,Leicester,Premier League,home
2017-09-30T14:00Z,Crystal Palace,Manchester Utd,Premier League,away
2017-09-30T14:00Z,Manchester Utd,Crystal Palace,Premier League,home
2017-09-30T14:00Z,West Ham,Swansea,Premier League,home
2017-09-30T16:30Z,Chelsea,Manchester City,Premier League,home
2017-09-30T16:30Z,Manchester City,Chelsea,Premier League,away
2017-10-01T11:00Z,Arsenal,Brighton,Premier League,home
2017-10-01T11:00Z,Brighton,Arsenal,Premier League,away
2017-10-01T13:15Z,Burnley,Everton,Premier League,away
2017-10-01T13:15Z,Everton,Burnley,Premier League,home
2017-10-01T15:30Z,Liverpool,Newcastle,Premier League,away
2017-10-01T15:30Z,Newcastle,Liverpool,Premier League,home
2017-10-14T11:30Z,Liverpool,Manchester Utd,Premier League,home
