date,team,opponent,competition,home_away
2023-08-08T18:45Z,Sunderland,Crewe Alexandra,League Cup,home
2023-08-09T18:45Z,Leeds,Shrewsbury Town,League Cup,home
2023-08-11T19:00Z,Burnley,Manchester City,Premier League,home
2023-08-11T19:00Z,Manchester City,Burnley,Premier League,away
2023-08-12T12:00Z,Arsenal,Nottingham,Premier League,home
2023-08-12T12:00Z,Nottingham,Arsenal,Premier League,away
2023-08-12T14:00Z,Bournemouth,West Ham,Premier League,home
2023-08-12T14:00Z,Brighton,Luton Town,Premier League,home
2023-08-12T14:00Z,Crystal Palace,Sheffield Utd,Premier League,away
2023-08-12T14:00Z,Everton,Fulham,Premier League,home
2023-08-12T14:00Z,Fulham,Everton,Premier League,away
2023-08-12T14:00Z,West Ham,Bournemouth,Premier League,away
2023-08-12T16:30Z,Aston Villa,Newcastle,Premier League,away
2023-08-12T16:30Z,Newcastle,Aston Villa,Premier League,home
2023-08-13T13:00Z,Brentford,Tottenham,Premier League,home
2023-08-13T13:00Z,Tottenham,Brentford,Premier League,away
2023-08-13T15:30Z,Chelsea,Liverpool,Premier League,home
2023-08-13T15:30Z,Liverpool,Chelsea,Premier League,away
2023-08-14T19:00Z,Manchester Utd,Wolves,Premier League,home
2023-08-14T19:00Z,Wolves,Manchester Utd,Premier League,away
2023-08-18T18:45Z,Nottingham,Sheffield Utd,Premier League,home
2023-08-19T14:00Z,Bournemouth,Liverpool,Premier League,away
2023-08-19T14:00Z,Brentford,Fulham,Premier League,away
2023-08-19T14:00Z,Brighton,Wolves,Premier League,away
2023-08-19T14:00Z,Fulham,Brentford,Premier League,home
2023-08-19T14:00Z,Liverpool,Bournemouth,Premier League,home
2023-08-19T14:00Z,Wolves,Brighton,Premier League,home
2023-08-19T16:30Z,Manchester Utd,Tottenham,Premier League,away
2023-08-19T16:30Z,Tottenham,Manchester Utd,Premier League,home
2023-08-19T19:00Z,Manchester City,Newcastle,Premier League,home
2023-08-19T19:00Z,Newcastle,Manchester City,Premier League,away
2023-08-20T13:00Z,Aston Villa,Everton,Premier League,home
2023-08-20T13:00Z,Everton,Aston Villa,Premier League,away
2023-08-20T15:30Z,Chelsea,West Ham,Premier League,away
2023-08-20T15:30Z,West Ham,Chelsea,Premier League,home
2023-08-21T19:00Z,Arsenal,Crystal Palace,Premier League,away
2023-08-21T19:00Z,Crystal Palace,Arsenal,Premier League,home
2023-08-25T19:00Z,Chelsea,Luton Town,Premier League,home
2023-08-26T11:30Z,Bournemouth,Tottenham,Premier League,home
2023-08-26T11:30Z,Tottenham,Bournemouth,Premier League,away
2023-08-26T14:00Z,Arsenal,Fulham,Premier League,home
2023-08-26T14:00Z,Brentford,Crystal Palace,Premier League,home
2023-08-26T14:00Z,Crystal Palace,Brentford,Premier League,away
2023-08-26T14:00Z,Everton,Wolves,Premier League,home
2023-08-26T14:00Z,Fulham,Arsenal,Premier League,away
2023-08-26T14:00Z,Manchester Utd,Nottingham,Premier League,home
2023-08-26T14:00Z,Nottingham,Manchester Utd,Premier League,away
2023-08-26T14:00Z,Wolves,Everton,Premier League,away
2023-08-26T16:30Z,Brighton,West Ham,Premier League,home
2023-08-26T16:30Z,West Ham,Brighton,Premier League,away
2023-08-27T13:00Z,Aston Villa,Burnley,Premier League,away
2023-08-27T13:00Z,Burnley,Aston Villa,Premier League,home
2023-08-27T13:00Z,Manchester City,Sheffield Utd,Premier League,away
2023-08-27T15:30Z,Liverpool,Newcastle,Premier League,away
2023-08-27T15:30Z,Newcastle,Liverpool,Premier League,home
2023-08-29T18:30Z,Bournemouth,Swansea,League Cup,away
2023-08-29T18:45Z,Brentford,Newport County,League Cup,away
2023-08-29T18:45Z,Crystal Palace,Plymouth Argyle,League Cup,away
2023-08-29T18:45Z,Fulham,Tottenham,League Cup,home
2023-08-29T18:45Z,Tottenham,Fulham,League Cup,away
2023-08-29T18:45Z,Wolves,Blackpool,League Cup,home
2023-08-29T19:00Z,Leeds,Salford City,League Cup,away
2023-08-30T18:45Z,Burnley,Nottingham,League Cup,away
2023-08-30T18:45Z,Chelsea,AFC Wimbledon,League Cup,home
2023-08-30T18:45Z,Nottingham,Burnley,League Cup,home
2023-08-30T19:00Z,Everton,Doncaster Rovers,League Cup,away
2023-09-01T19:00Z,West Ham,Luton Town,Premier League,away
2023-09-02T11:30Z,Everton,Sheffield Utd,Premier League,away
2023-09-02T14:00Z,Bournemouth,Brentford,Premier League,away
2023-09-02T14:00Z,Brentford,Bournemouth,Premier League,home
2023-09-02T14:00Z,Burnley,Tottenham,Premier League,home
2023-09-02T14:00Z,Chelsea,Nottingham,Premier League,home
2023-09-02T14:00Z,Fulham,Manchester City,Premier League,away
2023-09-02T14:00Z,Manchester City,Fulham,Premier League,home
2023-09-02T14:00Z,Nottingham,Chelsea,Premier League,away
2023-09-02T14:00Z,Tottenham,Burnley,Premier League,away
2023-09-02T16:30Z,Brighton,Newcastle,Premier League,home
2023-09-02T16:30Z,Newcastle,Brighton,Premier League,away
2023-09-03T13:00Z,Aston Villa,Liverpool,Premier League,away
2023-09-03T13:00Z,Crystal Palace,Wolves,Premier League,home
2023-09-03T13:00Z,Liverpool,Aston Villa,Premier League,home
2023-09-03T13:00Z,Wolves,Crystal Palace,Premier League,away
2023-09-03T15:30Z,Arsenal,Manchester Utd,Premier League,home
2023-09-03T15:30Z,Manchester Utd,Arsenal,Premier League,away
2023-09-16T11:30Z,Liverpool,Wolves,Premier League,away
2023-09-16T11:30Z,Wolves,Liverpool,Premier League,home
2023-09-16T14:00Z,Aston Villa,Crystal Palace,Premier League,home
2023-09-16T14:00Z,Brighton,Manchester Utd,Premier League,away
2023-09-16T14:00Z,Crystal Palace,Aston Villa,Premier League,away
2023-09-16T14:00Z,Fulham,Luton Town,Premier League,home
2023-09-16T14:00Z,Manchester City,West Ham,Premier League,away
