date,team,opponent,competition,home_away
2019-07-25T18:45Z,Wolves,Crusaders,Europa League,home
2019-08-01T19:00Z,Wolves,Crusaders,Europa League,away
2019-08-08T16:00Z,Wolves,Pyunik,Europa League,away
2019-08-09T19:00Z,Liverpool,Norwich,Premier League,home
2019-08-10T11:30Z,Manchester City,West Ham,Premier League,away
2019-08-10T11:30Z,West Ham,Manchester City,Premier League,home
2019-08-10T14:00Z,Bournemouth,Sheffield Utd,Premier League,home
2019-08-10T14:00Z,Brighton,Watford,Premier League,away
2019-08-10T14:00Z,Burnley,Southampton,Premier League,home
2019-08-10T14:00Z,Crystal Palace,Everton,Premier League,home
2019-08-10T14:00Z,Everton,Crystal Palace,Premier League,away
2019-08-10T16:30Z,Aston Villa,Tottenham,Premier League,away
2019-08-10T16:30Z,Tottenham,Aston Villa,Premier League,home
2019-08-11T13:00Z,Arsenal,Newcastle,Premier League,away
2019-08-11T13:00Z,Newcastle,Arsenal,Premier League,home
2019-08-11T13:00Z,Wolves,Leicester,Premier League,away
2019-08-11T15:30Z,Chelsea,Manchester Utd,Premier League,away
2019-08-11T15:30Z,Manchester Utd,Chelsea,Premier League,home
2019-08-13T18:45Z,Brentford,Cambridge United,League Cup,home
2019-08-13T18:45Z,Leeds,Salford City,League Cup,away
2019-08-13T18:45Z,Nottingham,Fleetwood Town,League Cup,home
2019-08-13T18:45Z,Sunderland,Accrington Stanley,League Cup,away
2019-08-15T18:45Z,Wolves,Pyunik,Europa League,home
2019-08-17T11:30Z,Arsenal,Burnley,Premier League,home
2019-08-17T11:30Z,Burnley,Arsenal,Premier League,away
2019-08-17T14:00Z,Bournemouth,Aston Villa,Premier League,away
2019-08-17T14:00Z,Aston Villa,Bournemouth,Premier League,home
2019-08-17T14:00Z,Brighton,West Ham,Premier League,home
2019-08-17T14:00Z,Everton,Watford,Premier League,home
2019-08-17T14:00Z,Liverpool,Southampton,Premier League,away
2019-08-17T14:00Z,Newcastle,Norwich,Premier League,away
2019-08-17T14:00Z,West Ham,Brighton,Premier League,away
2019-08-17T16:30Z,Manchester City,Tottenham,Premier League,home
2019-08-17T16:30Z,Tottenham,Manchester City,Premier League,away
2019-08-18T13:00Z,Crystal Palace,Sheffield Utd,Premier League,away
2019-08-18T15:30Z,Chelsea,Leicester,Premier League,home
2019-08-19T19:00Z,Manchester Utd,Wolves,Premier League,away
2019-08-19T19:00Z,Wolves,Manchester Utd,Premier League,home
2019-08-22T19:00Z,Wolves,Torino,Europa League,away
2019-08-23T19:00Z,Aston Villa,Everton,Premier League,home
2019-08-23T19:00Z,Everton,Aston Villa,Premier League,away
2019-08-24T11:30Z,Chelsea,Norwich,Premier League,away
2019-08-24T14:00Z,Brighton,Southampton,Premier League,home
2019-08-24T14:00Z,Crystal Palace,Manchester Utd,Premier League,away
2019-08-24T14:00Z,Manchester Utd,Crystal Palace,Premier League,home
2019-08-24T14:00Z,West Ham,Watford,Premier League,away
2019-08-24T16:30Z,Arsenal,Liverpool,Premier League,away
2019-08-24T16:30Z,Liverpool,Arsenal,Premier League,home
2019-08-25T13:00Z,Bournemouth,Manchester City,Premier League,home
2019-08-25T13:00Z,Manchester City,Bournemouth,Premier League,away
2019-08-25T15:30Z,Burnley,Wolves,Premier League,away
2019-08-25T15:30Z,Newcastle,Tottenham,Premier League,away
2019-08-25T15:30Z,Tottenham,Newcastle,Premier League,home
2019-08-25T15:30Z,Wolves,Burnley,Premier League,home
2019-08-27T18:45Z,Aston Villa,Crewe Alexandra,League Cup,away
2019-08-27T18:45Z,Brighton,Bristol Rovers,League Cup,away
2019-08-27T18:45Z,Crystal Palace,Colchester United,League Cup,home
2019-08-27T18:45Z,Fulham,Southampton,League Cup,home
2019-08-27T18:45Z,Leeds,Stoke,League Cup,home
2019-08-27T18:45Z,Nottingham,Derby County,League Cup,home
2019-08-27T18:45Z,West Ham,Newport County,League Cup,away
2019-08-28T18:45Z,Bournemouth,Forest Green Rovers,League Cup,home
2019-08-28T18:45Z,Burnley,Sunderland,League Cup,home
2019-08-28T18:45Z,Everton,Lincoln City,League Cup,away
2019-08-28T18:45Z,Newcastle,Leicester,League Cup,home
2019-08-28T18:45Z,Sunderland,Burnley,League Cup,away
2019-08-29T18:45Z,Wolves,Torino,Europa League,home
2019-08-31T11:30Z,Manchester Utd,Southampton,Premier League,away
2019-08-31T14:00Z,Bournemouth,Leicester,Premier League,away
2019-08-31T14:00Z,Aston Villa,Crystal Palace,Premier League,away
2019-08-31T14:00Z,Brighton,Manchester City,Premier League,away
2019-08-31T14:00Z,Chelsea,Sheffield Utd,Premier League,home
2019-08-31T14:00Z,Crystal Palace,Aston Villa,Premier League,home
2019-08-31T14:00Z,Manchester City,Brighton,Premier League,home
2019-08-31T14:00Z,Newcastle,Watford,Premier League,home
2019-08-31T14:00Z,West Ham,Norwich,Premier League,home
2019-08-31T16:30Z,Burnley,Liverpool,Premier League,home
2019-08-31T16:30Z,Liverpool,Burnley,Premier League,away
2019-09-01T13:00Z,Everton,Wolves,Premier League,home
2019-09-01T13:00Z,Wolves,Everton,Premier League,away
2019-09-01T15:30Z,Arsenal,Tottenham,Premier League,home
2019-09-01T15:30Z,Tottenham,Arsenal,Premier League,away
2019-09-14T11:30Z,Liverpool,Newcastle,Premier League,home
2019-09-14T11:30Z,Newcastle,Liverpool,Premier League,away
2019-09-14T14:00Z,Brighton,Burnley,Premier League,home
2019-09-14T14:00Z,Burnley,Brighton,Premier League,away
2019-09-14T14:00Z,Chelsea,Wolves,Premier League,away
2019-09-14T14:00Z,Crystal Palace,Tottenham,Premier League,away
2019-09-14T14:00Z,Manchester Utd,Leicester,Premier League,home
2019-09-14T14:00Z,Tottenham,Crystal Palace,Premier League,home
2019-09-14T14:00Z,Wolves,Chelsea,Premier League,home
2019-09-14T16:30Z,Manchester City,Norwich,Premier League,away
2019-09-15T13:00Z,Bournemouth,Everton,Premier League,home
2019-09-15T13:00Z,Everton,Bournemouth,Premier League,away
2019-09-15T15:30Z,Arsenal,Watford,Premier League,away
2019-09-16T19:00Z,Aston Villa,West Ham,Premier League,home
2019-09-16T19:00Z,West Ham,Aston Villa,Premier League,away
2019-09-17T19:00Z,Chelsea,Valencia,Champions League,home
2019-09-17T19:00Z,Liverpool,Napoli,Champions League,away
2019-09-18T16:55Z,Tottenham,Olympiacos,Champions League,away
2019-09-18T19:00Z,Manchester City,Shakhtar Donetsk,Champions League,away
2019-09-19T16:55Z,Arsenal,Eintracht Frankfurt,Europa League,away
2019-09-19T19:00Z,Manchester Utd,FC Astana,Europa League,home
2019-09-19T19:00Z,Wolves,Braga,Europa League,home
2019-09-20T19:00Z,Bournemouth,Southampton,Premier League,away
2019-09-21T11:30Z,Tottenham,Leicester,Premier League,away
2019-09-21T14:00Z,Burnley,Norwich,Premier League,home
2019-09-21T14:00Z,Everton,Sheffield Utd,Premier League,home
2019-09-21T14:00Z,Manchester City,Watford,Premier League,home
2019-09-21T16:30Z,Brighton,Newcastle,Premier League,away
2019-09-21T16:30Z,Newcastle,Brighton,Premier League,home
2019-09-22T13:00Z,Crystal Palace,Wolves,Premier League,home
2019-09-22T13:00Z,Manchester Utd,West Ham,Premier League,away
2019-09-22T13:00Z,West Ham,Manchester Utd,Premier League,home
2019-09-22T13:00Z,Wolves,Crystal Palace,Premier League,away
2019-09-22T15:30Z,Arsenal,Aston Villa,Premier League,home
2019-09-22T15:30Z,Aston Villa,Arsenal,Premier League,away
2019-09-22T15:30Z,Chelsea,Liverpool,Premier League,home
2019-09-22T15:30Z,Liverpool,Chelsea,Premier League,away
2019-09-24T18:45Z,Everton,Sheffield Wednesday,League Cup,away
2019-09-24T18:45Z,Manchester City,Preston North End,League Cup,away
2019-09-24T18:45Z,Tottenham,Colchester United,League Cup,away
2019-09-24T19:00Z,Arsenal,Nottingham,League Cup,home
2019-09-24T19:00Z,Nottingham,Arsenal,League Cup,away
2019-09-25T18:45Z,Bournemouth,Burton Albion,League Cup,away
2019-09-25T18:45Z,Aston Villa,Brighton,League Cup,away
2019-09-25T18:45Z,Brighton,Aston Villa,League Cup,home
2019-09-25T18:45Z,Chelsea,Grimsby Town,League Cup,home
2019-09-25T18:45Z,Liverpool,Milton Keynes Dons,League Cup,away
2019-09-25T18:45Z,Sunderland,Sheffield Utd,League Cup,away
2019-09-25T18:45Z,West Ham,Oxford United,League Cup,away
2019-09-25T18:45Z,Wolves,Reading,League Cup,home
2019-09-25T19:00Z,Manchester Utd,Rochdale,League Cup,home
2019-09-28T11:30Z,Liverpool,Sheffield Utd,Premier League,away
2019-09-28T14:00Z,Bournemouth,West Ham,Premier League,home
2019-09-28T14:00Z,Aston Villa,Burnley,Premier League,home
2019-09-28T14:00Z,Brighton,Chelsea,Premier League,away
2019-09-28T14:00Z,Burnley,Aston Villa,Premier League,away
2019-09-28T14:00Z,Chelsea,Brighton,Premier League,home
2019-09-28T14:00Z,Crystal Palace,Norwich,Premier League,home
2019-09-28T14:00Z,Tottenham,Southampton,Premier League,home
2019-09-28T14:00Z,West Ham,Bournemouth,Premier League,away
2019-09-28T14:00Z,Wolves,Watford,Premier League,home
2019-09-28T16:30Z,Everton,Manchester City,Premier League,home
2019-09-28T16:30Z,Manchester City,Everton,Premier League,away
2019-09-29T15:30Z,Newcastle,Leicester,Premier League,away
2019-09-30T19:00Z,Arsenal,Manchester Utd,Premier League,away
2019-09-30T19:00Z,Manchester Utd,Arsenal,Premier League,home
2019-10-01T19:00Z,Manchester City,Dinamo Zagreb,Champions League,home
2019-10-01T19:00Z,Tottenham,Bayern Munich,Champions League,home
2019-10-02T19:00Z,Chelsea,Lille,Champions League,away
2019-10-02T19:00Z,Liverpool,RB Salzburg,Champions League,home
2019-10-03T16:55Z,Manchester Utd,AZ Alkmaar,Europa League,away
2019-10-03T16:55Z,Wolves,Besiktas,Europa League,away
2019-10-03T19:00Z,Arsenal,Standard Liege,Europa League,home
2019-10-05T11:30Z,Brighton,Tottenham,Premier League,home
2019-10-05T11:30Z,Tottenham,Brighton,Premier League,away
2019-10-05T14:00Z,Aston Villa,Norwich,Premier League,away
2019-10-05T14:00Z,Burnley,Everton,Premier League,home
2019-10-05T14:00Z,Everton,Burnley,Premier League,away
2019-10-05T14:00Z,Liverpool,Leicester,Premier League,home
2019-10-05T16:30Z,Crystal Palace,West Ham,Premier League,away
2019-10-05T16:30Z,West Ham,Crystal Palace,Premier League,home
2019-10-06T13:00Z,Bournemouth,Arsenal,Premier League,away
