hour_bin,n_samples,n_events,target_mean,target_std,target_var,target_abs_mean,target_median
0-3h,165,102,0.0024334231857210398,0.02882498688995838,0.0008308799006044865,0.0136612169444561,0.0
3-6h,454,430,-0.0006843229057267308,0.022343654185533524,0.0004992388421669602,0.015469897538423538,-0.0011168343480676413
6-9h,419,368,-0.0010330660734325647,0.03522911295294762,0.0012410904746502638,0.022529980167746544,-0.001158158527687192
9-12h,275,247,0.0021164799109101295,0.040174342691898346,0.0016139778308570385,0.02602715790271759,0.0006410385831259191
12-18h,40,36,6.151795241748914e-05,0.02730202116072178,0.000745400320738554,0.02051992155611515,0.003238153411075473
18-24h,200,172,-0.00805467739701271,0.034810870885849,0.0012117967708036304,0.026715056970715523,-0.0059160590171813965
24-36h,39,28,0.00018106424249708652,0.03794913366436958,0.0014401368098333478,0.030263518914580345,0.00411420501768589
