hour_bin,n_train,n_test,n_features,test_r2,test_mse,baseline_mse,target_std_test
0-3h,115,50,12,-0.09751486778259277,0.002227840246632695,0.0022250465117394924,0.0450543612241745
3-6h,317,137,12,-0.04540824890136719,0.0008462866535410285,0.0008095967350527644,0.02845219522714615
6-9h,293,126,12,-0.06714797019958496,0.002710529137402773,0.0025557265616953373,0.05039816349744797
9-12h,192,83,12,-0.09959399700164795,0.0033770983573049307,0.003125256858766079,0.05541861802339554
12-18h,28,12,12,-0.10880148410797119,0.0010265364544466138,0.00103803351521492,0.030427081510424614
18-24h,140,60,12,-0.10547113418579102,0.001908311853185296,0.0017263450426980853,0.04154808446764946
24-36h,27,12,12,-0.32415640354156494,0.0012789008906111121,0.001261706929653883,0.03107769414782524
