hour_bin,n_test,r2,mse,baseline_mse,mean_abs_pred,target_std
0-3h,53,-0.1016770601272583,0.0021222278010100126,0.0020899660885334015,0.0035040806978940964,0.043890330940485
3-6h,142,-0.025563716888427734,0.0008081244886852801,0.0007884912192821503,0.0036380458623170853,0.028070993721485138
6-9h,111,-0.02003920078277588,0.002647342160344124,0.002596321515738964,0.004262074362486601,0.05094441771507263
9-12h,94,-0.030438542366027832,0.0028915079310536385,0.0028628110885620117,0.00494893454015255,0.05297258123755455
12-18h,12,-0.11015748977661133,0.0010277918772771955,0.0010040052002295852,0.007353134918957949,0.030427081510424614
18-24h,66,0.0017030835151672363,0.0017563642468303442,0.001852117944508791,0.006857403554022312,0.041944731026887894
