feature,pearson_r,pearson_p,spearman_rho,spearman_p,abs_pearson,abs_spearman,avg_abs,group,p_bh,p_bonferroni,sig_bh,sig_bonferroni
tab_retail_sharp_diff_home,0.12043334543704987,0.0012143622291306694,0.12013810789614048,0.0012487886371529825,0.12043334543704987,0.12013810789614048,0.12028572666659518,tabular,0.07286173374784016,0.07286173374784016,False,False
traj_max_prob_decrease,0.10067430883646011,0.006899274598795843,0.13124524086546616,0.0004181068478381611,0.10067430883646011,0.13124524086546616,0.11595977485096313,trajectory,0.13798549197591686,0.4139564759277506,False,False
tab_retail_sharp_diff_away,-0.10268576443195343,0.005852502761945885,-0.11894346739086098,0.0013974800623561736,0.10268576443195343,0.11894346739086098,0.1108146159114072,tabular,0.13798549197591686,0.35115016571675306,False,False
traj_sharp_retail_divergence_trend,0.054832495748996735,0.14187778572418805,0.13431935956076665,0.0003041079442073062,0.054832495748996735,0.13431935956076665,0.0945759276548817,trajectory,0.30471502665041705,1.0,False,False
traj_prob_range,-0.06837113201618195,0.06691100046339048,-0.11619140298517093,0.0018040236083675552,0.06837113201618195,0.11619140298517093,0.09228126750067644,trajectory,0.25928436458340026,1.0,False,False
traj_prob_volatility,-0.0658675953745842,0.07755907713774644,-0.10780957898647203,0.0038008397086715636,0.0658675953745842,0.10780957898647203,0.08683858718052812,trajectory,0.25928436458340026,1.0,False,False
pm_pm_away_prob,0.0744209736585617,0.04606135362502853,0.07345922684682488,0.04895513800322276,0.0744209736585617,0.07345922684682488,0.07394010025269329,polymarket,0.2456391292106139,1.0,False,False
traj_trend_slope,0.08889272809028625,0.01711822956874109,0.05558153409227761,0.1365055425956269,0.08889272809028625,0.05558153409227761,0.07223713109128194,trajectory,0.2054187548248931,1.0,False,False
xsrc_pm_sb_divergence_direction,-0.07866690307855606,0.03494564174846084,-0.05044404354841452,0.17665627670352235,0.07866690307855606,0.05044404354841452,0.0645554733134853,cross_source,0.2456391292106139,1.0,False,False
tab_best_away_odds,-0.07732808589935303,0.038173595418983304,-0.0513771022047884,0.16877625578485284,0.07732808589935303,0.0513771022047884,0.06435259405207072,tabular,0.2456391292106139,1.0,False,False
tab_avg_away_odds,-0.07343076914548874,0.04904301340301473,-0.04923999561133042,0.1872250585548269,0.07343076914548874,0.04923999561133042,0.061335382378409575,tabular,0.2456391292106139,1.0,False,False
tab_std_away_odds,-0.07423818856477737,0.04659990675321003,-0.04366436109641262,0.2422648875671643,0.07423818856477737,0.04366436109641262,0.058951274830594994,tabular,0.2456391292106139,1.0,False,False
tab_best_available_odds,0.06620898097753525,0.07603061078699354,0.04936359112868042,0.1861191844793205,0.06620898097753525,0.04936359112868042,0.05778628605310783,tabular,0.25928436458340026,1.0,False,False
tab_best_home_odds,0.06620898097753525,0.07603061078699354,0.04936359112868042,0.1861191844793205,0.06620898097753525,0.04936359112868042,0.05778628605310783,tabular,0.25928436458340026,1.0,False,False
traj_movement_count,-0.03721392899751663,0.31902203128345485,-0.07633015523829376,0.040741140211198755,0.03721392899751663,0.07633015523829376,0.056772042117905194,trajectory,0.48436175458192393,1.0,False,False
traj_sharp_leads_retail,-0.07340339571237564,0.04912782584212278,-0.039967795030459,0.2844993891882833,0.07340339571237564,0.039967795030459,0.05668559537141732,trajectory,0.2456391292106139,1.0,False,False
tab_worst_away_odds,-0.06581743061542511,0.07778530937502007,-0.04684862722508033,0.2095838410992079,0.06581743061542511,0.04684862722508033,0.05633302892025272,tabular,0.25928436458340026,1.0,False,False
traj_trend_strength,0.03595155477523804,0.3357248019037356,0.07667004501400825,0.039850714669885275,0.03595155477523804,0.07667004501400825,0.05631079989462314,trajectory,0.49130458815180816,1.0,False,False
tab_sharp_home_prob,-0.056948222219944,0.12710952127693667,-0.05520023533935457,0.13922024195444663,0.056948222219944,0.05520023533935457,0.056074228779649286,tabular,0.30471502665041705,1.0,False,False
tab_sharp_prob,-0.056948222219944,0.12710952127693667,-0.05520023533935457,0.13922024195444663,0.056948222219944,0.05520023533935457,0.056074228779649286,tabular,0.30471502665041705,1.0,False,False
tab_sharp_away_prob,0.05674324929714203,0.12848549079309465,0.05527761141682996,0.1386660259469986,0.05674324929714203,0.05527761141682996,0.056010430356985996,tabular,0.30471502665041705,1.0,False,False
tab_opponent_sharp_prob,0.05674324929714203,0.12848549079309465,0.05527761141682996,0.1386660259469986,0.05674324929714203,0.05527761141682996,0.056010430356985996,tabular,0.30471502665041705,1.0,False,False
tab_avg_home_odds,0.05933883786201477,0.11189031028520623,0.05026430746721322,0.1782051460511962,0.05933883786201477,0.05026430746721322,0.054801572664613996,tabular,0.30471502665041705,1.0,False,False
traj_net_movement_direction,0.047386135905981064,0.20439710268708355,0.061053181347410654,0.10188805262018304,0.047386135905981064,0.061053181347410654,0.05421965862669586,trajectory,0.3710038414613466,1.0,False,False
xsrc_pm_sb_prob_divergence,-0.09179764986038208,0.01380126335810116,-0.01584429487904846,0.6714643582315338,0.09179764986038208,0.01584429487904846,0.05382097236971527,cross_source,0.2054187548248931,0.8280758014860695,False,False
tab_opponent_consensus_prob,0.05305594578385353,0.15526481397502256,0.049931049140219896,0.18110363616928205,0.05305594578385353,0.049931049140219896,0.051493497462036714,tabular,0.30471502665041705,1.0,False,False
tab_away_consensus_prob,0.05305594578385353,0.15526481397502256,0.049931049140219896,0.18110363616928205,0.05305594578385353,0.049931049140219896,0.051493497462036714,tabular,0.30471502665041705,1.0,False,False
