event_id,fold,y_pred,y_actual,bet_side,american_odds,decimal_odds,won,pnl,clv
op_2023-2024_UTA_DAL_2024-01-02,3,0.007803240325301886,0.0,home,155,2.55,True,154.99999999999997,0.0
op_2023-2024_PHX_POR_2024-01-02,3,-0.007202060427516699,-0.05918054282665253,away,475,5.75,False,-100.0,0.05918054282665253
op_2023-2024_PHI_CHI_2024-01-03,4,-0.026160480454564095,-0.04659887030720711,away,475,5.75,False,-100.0,0.04659887030720711
op_2023-2024_NOP_BKN_2024-01-03,4,0.014340332709252834,-0.03317534178495407,home,-263,1.3802281368821292,True,38.02281368821292,-0.03317534178495407
op_2023-2024_OKC_BOS_2024-01-03,4,-0.05934526026248932,-0.08443903923034668,away,-120,1.8333333333333335,False,-100.0,0.08443903923034668
op_2023-2024_GSW_ORL_2024-01-03,4,-0.006430974695831537,0.007929223589599133,away,135,2.35,False,-100.0,-0.007929223589599133
op_2023-2024_IND_MIL_2024-01-04,4,0.015151552855968475,-0.016165927052497864,home,130,2.3,True,129.99999999999997,-0.016165927052497864
op_2023-2024_CLE_WAS_2024-01-04,4,-0.030532479286193848,-0.01610131375491619,away,350,4.5,False,-100.0,0.01610131375491619
op_2023-2024_ATL_OKC_2024-01-04,4,-0.027122123166918755,0.03257336840033531,away,-120,1.8333333333333335,False,-100.0,-0.03257336840033531
op_2023-2024_MIN_NOP_2024-01-04,4,-0.02932867221534252,-0.030289961025118828,away,220,3.2,True,220.00000000000003,0.030289961025118828
op_2023-2024_HOU_BKN_2024-01-04,4,-0.02932867221534252,-0.09398390352725983,away,220,3.2,False,-100.0,0.09398390352725983
op_2023-2024_MEM_TOR_2024-01-04,4,0.010087618604302406,-0.010904894210398197,home,-120,1.8333333333333335,False,-100.0,-0.010904894210398197
op_2023-2024_DAL_POR_2024-01-04,4,-0.008150170557200909,0.0,away,450,5.5,False,-100.0,-0.0
op_2023-2024_NYK_CHI_2024-01-04,4,-0.020546546205878258,0.003945982549339533,away,275,3.75,False,-100.0,-0.003945982549339533
op_2023-2024_PHX_LAC_2024-01-04,4,0.08253493160009384,-0.0323655903339386,home,125,2.25,False,-100.0,-0.0323655903339386
op_2023-2024_UTA_DET_2024-01-04,4,-0.030264846980571747,0.003945982549339533,away,275,3.75,False,-100.0,-0.003945982549339533
op_2023-2024_LAL_MIA_2024-01-04,4,-0.012216076254844666,-0.035393256694078445,away,205,3.05,True,204.99999999999997,0.035393256694078445
op_2023-2024_SAC_ORL_2024-01-04,4,-0.024512216448783875,0.05257553607225418,away,145,2.45,False,-100.0,-0.05257553607225418
op_2023-2024_SAS_MIL_2024-01-05,4,0.005324333440512419,-0.01942901685833931,home,375,4.75,False,-100.0,-0.01942901685833931
op_2023-2024_GSW_DEN_2024-01-05,4,-0.009835552424192429,-0.04340603947639465,away,-141,1.7092198581560285,True,70.92198581560285,0.04340603947639465
op_2023-2024_IND_ATL_2024-01-06,4,-0.01920517347753048,-0.0606173612177372,away,155,2.55,False,-100.0,0.0606173612177372
